actor_login,window_start,event_count
cloudflare-workers-and-pages[bot],2026-04-16 11:40:00+00:00,36
cloudflare-workers-and-pages[bot],2026-04-16 11:50:00+00:00,23
cloudflare-workers-and-pages[bot],2026-04-16 12:00:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 12:10:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-16 12:20:00+00:00,39
cloudflare-workers-and-pages[bot],2026-04-16 12:30:00+00:00,27
cloudflare-workers-and-pages[bot],2026-04-16 12:40:00+00:00,40
cloudflare-workers-and-pages[bot],2026-04-16 12:50:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 13:00:00+00:00,27
cloudflare-workers-and-pages[bot],2026-04-16 13:10:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-16 13:20:00+00:00,24
cloudflare-workers-and-pages[bot],2026-04-16 13:30:00+00:00,33
cloudflare-workers-and-pages[bot],2026-04-16 13:40:00+00:00,25
cloudflare-workers-and-pages[bot],2026-04-16 13:50:00+00:00,27
cloudflare-workers-and-pages[bot],2026-04-16 14:10:00+00:00,22
cloudflare-workers-and-pages[bot],2026-04-16 14:20:00+00:00,44
cloudflare-workers-and-pages[bot],2026-04-16 14:30:00+00:00,45
cloudflare-workers-and-pages[bot],2026-04-16 14:40:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-16 14:50:00+00:00,36
cloudflare-workers-and-pages[bot],2026-04-16 15:00:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-16 15:10:00+00:00,34
cloudflare-workers-and-pages[bot],2026-04-16 15:20:00+00:00,36
cloudflare-workers-and-pages[bot],2026-04-16 15:30:00+00:00,36
cloudflare-workers-and-pages[bot],2026-04-16 15:40:00+00:00,34
cloudflare-workers-and-pages[bot],2026-04-16 15:50:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-16 16:00:00+00:00,40
cloudflare-workers-and-pages[bot],2026-04-16 16:10:00+00:00,34
cloudflare-workers-and-pages[bot],2026-04-16 16:20:00+00:00,43
cloudflare-workers-and-pages[bot],2026-04-16 16:30:00+00:00,40
cloudflare-workers-and-pages[bot],2026-04-16 16:40:00+00:00,24
cloudflare-workers-and-pages[bot],2026-04-16 16:50:00+00:00,35
cloudflare-workers-and-pages[bot],2026-04-16 17:10:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-16 17:30:00+00:00,25
cloudflare-workers-and-pages[bot],2026-04-16 17:40:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-16 17:50:00+00:00,33
cloudflare-workers-and-pages[bot],2026-04-16 18:00:00+00:00,44
cloudflare-workers-and-pages[bot],2026-04-16 18:10:00+00:00,33
cloudflare-workers-and-pages[bot],2026-04-16 18:20:00+00:00,32
cloudflare-workers-and-pages[bot],2026-04-16 18:30:00+00:00,24
cloudflare-workers-and-pages[bot],2026-04-16 18:40:00+00:00,33
cloudflare-workers-and-pages[bot],2026-04-16 18:50:00+00:00,34
cloudflare-workers-and-pages[bot],2026-04-16 19:00:00+00:00,25
cloudflare-workers-and-pages[bot],2026-04-16 19:10:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-16 19:20:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-16 19:30:00+00:00,38
cloudflare-workers-and-pages[bot],2026-04-16 19:40:00+00:00,43
cloudflare-workers-and-pages[bot],2026-04-16 19:50:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 20:00:00+00:00,28
cloudflare-workers-and-pages[bot],2026-04-16 20:10:00+00:00,27
cloudflare-workers-and-pages[bot],2026-04-16 20:20:00+00:00,41
cloudflare-workers-and-pages[bot],2026-04-16 20:30:00+00:00,38
cloudflare-workers-and-pages[bot],2026-04-16 20:40:00+00:00,35
cloudflare-workers-and-pages[bot],2026-04-16 20:50:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-16 21:00:00+00:00,28
cloudflare-workers-and-pages[bot],2026-04-16 21:10:00+00:00,44
cloudflare-workers-and-pages[bot],2026-04-16 21:20:00+00:00,38
cloudflare-workers-and-pages[bot],2026-04-16 21:30:00+00:00,32
cloudflare-workers-and-pages[bot],2026-04-16 21:40:00+00:00,28
cloudflare-workers-and-pages[bot],2026-04-16 21:50:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 22:20:00+00:00,39
cloudflare-workers-and-pages[bot],2026-04-16 22:30:00+00:00,21
cloudflare-workers-and-pages[bot],2026-04-16 22:40:00+00:00,24
cloudflare-workers-and-pages[bot],2026-04-16 22:50:00+00:00,36
coderabbitai[bot],2026-04-16 00:00:00+00:00,87
coderabbitai[bot],2026-04-16 00:10:00+00:00,117
coderabbitai[bot],2026-04-16 00:20:00+00:00,129
coderabbitai[bot],2026-04-16 00:30:00+00:00,171
coderabbitai[bot],2026-04-16 00:40:00+00:00,126
coderabbitai[bot],2026-04-16 00:50:00+00:00,123
coderabbitai[bot],2026-04-16 01:00:00+00:00,96
coderabbitai[bot],2026-04-16 01:10:00+00:00,80
coderabbitai[bot],2026-04-16 01:20:00+00:00,65
coderabbitai[bot],2026-04-16 01:30:00+00:00,113
coderabbitai[bot],2026-04-16 01:40:00+00:00,101
coderabbitai[bot],2026-04-16 01:50:00+00:00,51
coderabbitai[bot],2026-04-16 02:00:00+00:00,37
coderabbitai[bot],2026-04-16 02:10:00+00:00,64
coderabbitai[bot],2026-04-16 02:20:00+00:00,59
coderabbitai[bot],2026-04-16 02:30:00+00:00,69
coderabbitai[bot],2026-04-16 02:40:00+00:00,80
coderabbitai[bot],2026-04-16 02:50:00+00:00,67
coderabbitai[bot],2026-04-16 03:00:00+00:00,94
coderabbitai[bot],2026-04-16 03:10:00+00:00,78
coderabbitai[bot],2026-04-16 03:20:00+00:00,56
coderabbitai[bot],2026-04-16 03:30:00+00:00,51
coderabbitai[bot],2026-04-16 03:40:00+00:00,94
coderabbitai[bot],2026-04-16 03:50:00+00:00,97
coderabbitai[bot],2026-04-16 04:00:00+00:00,94
coderabbitai[bot],2026-04-16 04:10:00+00:00,105
coderabbitai[bot],2026-04-16 04:20:00+00:00,101
coderabbitai[bot],2026-04-16 04:30:00+00:00,170
coderabbitai[bot],2026-04-16 04:40:00+00:00,150
coderabbitai[bot],2026-04-16 04:50:00+00:00,107
coderabbitai[bot],2026-04-16 05:00:00+00:00,89
coderabbitai[bot],2026-04-16 05:10:00+00:00,127
coderabbitai[bot],2026-04-16 05:20:00+00:00,95
coderabbitai[bot],2026-04-16 05:30:00+00:00,144
coderabbitai[bot],2026-04-16 05:40:00+00:00,127
coderabbitai[bot],2026-04-16 05:50:00+00:00,86
coderabbitai[bot],2026-04-16 06:00:00+00:00,60
coderabbitai[bot],2026-04-16 06:10:00+00:00,87
coderabbitai[bot],2026-04-16 06:20:00+00:00,78
coderabbitai[bot],2026-04-16 06:30:00+00:00,96
coderabbitai[bot],2026-04-16 06:40:00+00:00,69
coderabbitai[bot],2026-04-16 06:50:00+00:00,77
coderabbitai[bot],2026-04-16 07:00:00+00:00,65
coderabbitai[bot],2026-04-16 07:10:00+00:00,79
coderabbitai[bot],2026-04-16 07:20:00+00:00,67
coderabbitai[bot],2026-04-16 07:30:00+00:00,55
coderabbitai[bot],2026-04-16 07:40:00+00:00,87
coderabbitai[bot],2026-04-16 07:50:00+00:00,78
coderabbitai[bot],2026-04-16 08:00:00+00:00,45
coderabbitai[bot],2026-04-16 08:10:00+00:00,42
coderabbitai[bot],2026-04-16 08:30:00+00:00,73
coderabbitai[bot],2026-04-16 08:40:00+00:00,35
coderabbitai[bot],2026-04-16 08:50:00+00:00,24
coderabbitai[bot],2026-04-16 09:00:00+00:00,30
coderabbitai[bot],2026-04-16 09:20:00+00:00,20
coderabbitai[bot],2026-04-16 09:30:00+00:00,33
coderabbitai[bot],2026-04-16 09:40:00+00:00,30
coderabbitai[bot],2026-04-16 10:20:00+00:00,20
coderabbitai[bot],2026-04-16 10:30:00+00:00,52
coderabbitai[bot],2026-04-16 10:40:00+00:00,43
coderabbitai[bot],2026-04-16 10:50:00+00:00,48
coderabbitai[bot],2026-04-16 11:00:00+00:00,32
coderabbitai[bot],2026-04-16 11:10:00+00:00,60
coderabbitai[bot],2026-04-16 11:20:00+00:00,41
coderabbitai[bot],2026-04-16 11:30:00+00:00,33
coderabbitai[bot],2026-04-16 11:40:00+00:00,34
coderabbitai[bot],2026-04-16 11:50:00+00:00,50
coderabbitai[bot],2026-04-16 12:10:00+00:00,30
coderabbitai[bot],2026-04-16 12:20:00+00:00,26
coderabbitai[bot],2026-04-16 12:30:00+00:00,29
coderabbitai[bot],2026-04-16 12:40:00+00:00,40
coderabbitai[bot],2026-04-16 12:50:00+00:00,26
coderabbitai[bot],2026-04-16 14:30:00+00:00,20
coderabbitai[bot],2026-04-16 14:40:00+00:00,31
coderabbitai[bot],2026-04-16 15:00:00+00:00,21
coderabbitai[bot],2026-04-16 15:20:00+00:00,21
coderabbitai[bot],2026-04-16 15:30:00+00:00,34
coderabbitai[bot],2026-04-16 16:30:00+00:00,24
coderabbitai[bot],2026-04-16 16:40:00+00:00,23
coderabbitai[bot],2026-04-16 16:50:00+00:00,30
coderabbitai[bot],2026-04-16 17:00:00+00:00,21
coderabbitai[bot],2026-04-16 17:10:00+00:00,31
coderabbitai[bot],2026-04-16 17:20:00+00:00,36
coderabbitai[bot],2026-04-16 17:30:00+00:00,25
coderabbitai[bot],2026-04-16 17:40:00+00:00,30
coderabbitai[bot],2026-04-16 17:50:00+00:00,24
coderabbitai[bot],2026-04-16 18:00:00+00:00,26
coderabbitai[bot],2026-04-16 18:20:00+00:00,46
coderabbitai[bot],2026-04-16 18:30:00+00:00,52
coderabbitai[bot],2026-04-16 18:40:00+00:00,51
coderabbitai[bot],2026-04-16 18:50:00+00:00,31
coderabbitai[bot],2026-04-16 19:00:00+00:00,35
coderabbitai[bot],2026-04-16 19:10:00+00:00,49
coderabbitai[bot],2026-04-16 19:20:00+00:00,73
coderabbitai[bot],2026-04-16 19:30:00+00:00,48
